,Unnamed: 0,count,hate_speech,offensive_language,neither,label,sentence1
48,48,3,0,3,0,1,these  even worst theyll send them guys for you
49,49,3,1,2,0,1,these  like  that spend money not talk bout it
50,50,3,1,2,0,1,we dont trust these  all these
51,51,3,0,3,0,1,yall  b cuffing  cause yall aint never have
52,52,3,0,3,0,1,you dodge a bullet  128517 8220DaRealKha All da  I cut off pregnant or bound to be thank God 1285918221
53,53,3,0,3,0,1,young Pill Chamberlain these  love my music
54,54,3,0,2,1,1,128514128514128514128514128514128514128514128514128514128514128514VandalSavage Teanna Trump probably cleaner than most of these twitter  but
55,55,3,0,3,0,1,128514128514128514128514128514128514128514128514128514128514DaHomieFuzz Gay  couldnt wait to act like  tonight
56,56,3,0,3,0,1,128514128514128514TheParadox And ima steal his cat n replace it with a pitbull 128514128514128514128514 RT 80sbaby4life TheParadox He a  you should do it
57,57,3,0,3,0,1,amp hes gone always be a
58,58,3,0,3,0,1,"Son of a  took my Tic Tacs

I like this movie"
59,59,3,0,3,0,1,All I wanna do is get money and  model   Russell Simmons
60,60,3,0,2,1,1,2015seniorprobs I probably wouldn8217t mind school as much if we didn8217t have to deal with  ass teachers Retweet
61,61,3,0,3,0,1,A7XDemery Im a   they said
62,62,3,0,3,0,1,ARIZZLEINDACUT Females think dating a  is cute now httptcoVxBJg26Gsz how does doing this stuff make him a
63,63,3,0,0,3,2,Addicted2Guys SimplyAddictedToGuys httptco1jL4hi8ZMF woof woof hot scally lad
64,64,3,0,3,0,1,AdoreBellaaa Have ya ever asked your  for other   kanye voice Yes
65,65,3,0,3,0,1,AdoreZoey How u gone bring ur side  to a game where You know Ya gf friends at  128553128553128553128553 I SWEAR
66,66,3,0,1,2,2,AllAboutManFeet httptco3gzUpfuMev woof woof and hot soles
67,67,3,0,1,2,2,Allyhaaaaa Lemmie eat a Oreo amp do these dishes One oreo Lol
68,68,3,0,3,0,1,Almightywayne JetsAndASwisher Gook   u httptcopXmGA68NC1 maybe youll get better Just httptcoTPreVwfq0S
69,69,3,1,2,0,1,Almightywayne  Red Malone man  ass  could you please use complete sentences
70,70,3,0,0,3,2,ArizonasFinest6 Why the eggplant emoji doey he say she looked like scream lmao
71,71,3,0,3,0,1,AutoWorId Hennessey Venom GT 128584 httptcoi8eGMnKaJ9 thats one sexy
72,72,3,0,3,0,1,BOSSBYTCHH Him seh me  wetter then a shower curtainahmesehwetnessltlmao
73,73,3,0,3,0,1,BROHEN314 Eaglesnation and every Eagles need to see that pic I just posted because that  just said the most racist shit
74,74,3,1,2,0,1,"BVSEDCHINK Yo  skateboarding all yall some wood pushing  man ball is life httptcoVBCzP6HMT7
AmJemieBenn"
75,75,3,0,1,2,2,"BabyAnimalPics baby monkey bathtime httptco7KPWAdLF0R
Awwwwe This is soooo ADORABLE"
76,76,3,0,3,0,1,BaylaaGottaBody 128514128514128514128514 I aint shit  Damn Skippy lol
77,77,3,1,2,0,1,BeEasyJrizzy u ever kill a ant on the sidewalk and think damn what if that  was on his way to get some pussyNo bs must b gt30chance
78,78,3,0,3,0,1,BeenBasedB KudaBrazyy httptcoLuUBGL9Y5u 0 rings 0 mvps 0  lol
79,79,3,1,2,0,1,BeenFLYnSolo ppl talk bad about the ghettohood  but as a kid growing up a  had funnnnnnn
80,80,9,0,7,2,1,BestProAdvice The facts on tattoostattoo httptcoZwnbhpDZ8e hes a  with not tattooing them nipples
81,81,3,0,3,0,1,Bill215 128175128175128175 RT nelayden  be wanting to act like  so bad 128553128553128553 that shit aint cuteeeee but  act like
82,82,3,0,3,0,1,BitchJones92 Get worshiping  httptcoR37CejCjou woof woof
83,83,3,1,2,0,1,BlackChiquitita Wow RT thatmanpalmer Im lost Are those buttcheek piercings httptcoyn6guyOUQ6 yeah shes a
84,84,3,0,3,0,1,BlackNerdJade Ok sis Shed rather be a broke  shrugs shell have to tell me how it works for her
85,85,3,2,1,0,0,Blackman38Tide WhaleLookyHere HowdyDowdy11 queer gaywad
86,87,3,0,3,0,1,BrokenPiecesmsc ItsNotAdam  read my tweets after dat k it wasnt even funny lol
87,88,3,0,3,0,1,BrosConfessions This  was so ungrateful httptco06e77bGwbx fr  LULWHORE
88,89,3,0,3,0,1,CASHandBOOBIES I been kidnapped yo
89,90,3,3,0,0,0,CBBaby24 whitethunduh alsarabsss hes a  smh you can tell hes a mexican
90,91,3,1,2,0,1,CCobey AydanMcCoy happy birthday  Thanks yo
91,92,6,1,5,0,1,CHlLDHOODRUINER when ur teacher tells u that u have homework httpstcoRKk5vawIj1 this  need to go
92,93,3,1,2,0,1,CaelanG15 22EdHam CaelanG15 that  was eating that  lol Hell Yea lol john Paul  said john paul httptcoOSIpBKPr9h
93,94,3,0,3,0,1,CanIFuckOrNah What would yall lil ugly bald headed  do if they stop making makeup amp weave
94,95,3,1,2,0,1,CarelessOne92 Leafs better win this damn game so I can go riot and shit EarlyChristmas you better start looting my
95,96,3,0,3,0,1,CauseWereGuys Going back to school sucks more dick than the  who attend it
96,97,3,0,3,0,1,CauseWereGuys On my way to  yo  httptcoj906T5zE2R me as a 9 year old
97,98,3,0,3,0,1,CeleyNichole whitethunduh how come you never bring me food i dont have a car
98,99,3,0,3,0,1,ChadMFVerbeck If Richnow doesnt show up with hella tinder  Im not his friend anymore chill I brought like like 8 prople
99,100,3,1,2,0,1,ChandlerParsons How bout them Cowboys Shutup
100,101,3,0,3,0,1,ClicquotSuave LMAOOOOOOOOOOO this  KrillzNuhCare httptcoAAnpSUjmYI lt want likes for some depressing shitfoh
101,102,3,0,3,0,1,ColeyCee lilaerii girl you know I was spitting that G shit to you amp you was going lbvs plz
102,103,3,0,3,0,1,ColeyCee Let me make a couple tweets off cuzzo page so I wont get in twitter jaillmao  dont trick me again
103,104,3,0,2,1,1,ComedyPosts Harlem shake is just an excuse to go full  for 30 seconds
104,105,3,0,3,0,1,ComedyTruth amen miley 128591 httptcoP2Kb2tfyxrokay but she dont need to act like a  just bc shes emotionally damaged foh
105,106,3,0,3,0,1,CoryBandz having one loyal female is wayyyyy better than having   idc 128175
106,107,3,0,3,0,1,"Crhedrys  licking  meow meow StopWhitePeople2014 128049 httpstcoKeegDCjS5K8221

128533"
107,108,3,0,3,0,1,DBABHolloway Check out our 12th man CowboysNation even with all those  ny fans in the stands
108,109,3,0,3,0,1,DGotBricks What happen to them vixen ent  they got ran and threw to the side like a foothill
109,110,3,0,3,0,1,DaeDaviDavie whitethunduh im the  okay nudes pat 128554128527128056 wow
110,111,3,3,0,0,0,DevilGrimz VigxRArts youre  gay blacklisted  Holding out for TehGodClan anyway httptcoxUCcwoetmn
111,112,3,0,3,0,1,DiamondLoudKush The  be wrong with these  Nobody knows
112,113,3,0,3,0,1,Dietrich1892 Yall shut upp make me
113,114,3,1,2,0,1,DionaIrish I hate a Im pregnant type of
114,115,3,0,3,0,1,DoYouQ Got  in the DM but I dont ever readem which is y your top 3
115,116,3,0,0,3,2,DomWorldPeace Baseball season for the win Yankees This is where the love started
116,117,3,0,3,0,1,Dommoneek Little stupid as  I dont  with yoooooouuuu
117,118,3,0,3,0,1,DreadheadAri she really asked me that dead ass serious tho all i could say was  wheet LOL
118,119,3,0,0,3,2,DunderbaIl Im an early bird and Im a night owl so Im wise and have worms
119,120,3,0,1,2,2,EdgarPixar Overdosing on heavy drugs doesnt sound bad tonight I do that  shit every day
120,121,3,0,0,3,2,"ElGrillo1 Pit Bulls Photographed As Lovely Fairy Tale Creatures httptcoQ0Sm89oOLh8221

They are fairy tale creatures"
121,122,3,0,3,0,1,FerociousGhost 1stNameBravo Aw  dont tweet aw to me lol
122,123,3,0,0,3,2,FloKid88 As long as the Lakers trash from now on I could careless And thats real CC BENBALLER hahaha
123,124,3,0,3,0,1,Frosstyy h0rheyd I didnt say anything tho kiss me then
124,125,3,0,0,3,2,FunnyPicsDepot this the I play soccer cheat on girls and wear khaki coloured cargos haircut httptcoZUai7qWBIR 128514 yup
125,126,3,0,3,0,1,G27Status I could go for a fat ass  on my lap same
126,127,3,0,3,0,1,GEDMelle 17 missed calls 128544128545Das yo PO  twitter finna be screamn FreeMoneyMelle
127,128,6,0,6,0,1,GTMAl Ya side  gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao 128514128514128514128514
128,129,3,0,3,0,1,GagaTom1 8220MaleFoot 3  Amo los pies httptco4QE1hDkK8i8221  yeah
129,130,3,0,3,0,1,GirlThatsVonte These  be thinking Meat wont slap they ass 128564128075 ainna bruh
130,131,3,0,3,0,1,GirlThatsVonte Yall  wit no edges be doing the most talking 1285531285649995128514128514128514
131,132,3,0,3,0,1,GirlThatsVonte Yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal  bags n shit
132,133,3,0,3,0,1,Girllssues I wanna have sex with my mom  her right in that  where I came from damn you got hacked like
133,134,6,0,6,0,1,GizzyJones94 If she kiss u with her eyes open watch that bitchlmfao
134,135,3,0,3,0,1,Goofstroop You a woulda coulda shoulda ass  128563128586
135,136,3,0,3,0,1,GottiLTF Happy Bday  Ass  JetsAndASwisherpreciate that  roll up
136,137,3,0,3,0,1,HBMostDope 1Jayee PipinHoes used to send that  up
137,138,6,0,6,0,1,HBMostDope Ugly  be like Im my own WCW duh  you aint nobody elses128514128514
138,139,3,1,2,0,1,HaloTGMG 1stNameBravo  you know we hacky sack  nah I throw no look passes lmao
139,141,3,1,2,0,1,HeartlessFuck Glad Im getting outta Atlanta Nothing but a bunch of  in amp outta jail amp dumb  with mad kids fuckin em
140,142,3,0,1,2,2,HermosaAlma This isnt ghettoits smart httpstcoMPAzQ3Jswf Im doing this idc
141,143,3,0,2,1,1,HiImJoriB I would wife a  only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
142,144,3,0,3,0,1,HornyFacts Being single isnt an excuse to be a  TheOneMissLuu
143,145,3,1,2,0,1,HoskinsTy96 White boy power  black power
144,146,3,0,3,0,1,Hudgens11 Lets get drunk get blowed spit shit spark blunts amp   Bro white dudes have no chill
145,147,3,0,3,0,1,IScoutGirls verballyabrupt  where u been Around the world and back Where you been
146,148,3,0,3,0,1,ItsYahBoiRay anelylove if I dont get my dick sucked at yo party by a bad  Im fr gone set it off 128514128514128514128514 by anelylove
147,149,3,0,2,1,1,Itsyesie oomf is soooo cute But he probably has  on him a lot
148,150,3,0,3,0,1,JAYten9 In every cartoon theirs alway a nuffsaid15 saving these  lmao httptco9uKD8wtZ6x lmao damn captain SaveAHoe
149,151,3,0,1,2,2,JReebo Who wants to get there nose in these bad bois then scally chav sockfetish stinking httptcoFeQxgN0W6I hot sox and legs
150,152,3,0,3,0,1,JamesyNBA I wish I was a  like my brother keezy 128530 ooooow I bet you do
151,153,6,0,6,0,1,JasminePore If you dressed up as a cat for Halloween you are basic or a
152,154,4,0,4,0,1,Jewelxo Can pornhub just get a gaming stream feature so these dumb  can gtfo Pornhub get on it Katielt3
153,155,3,0,3,0,1,JoeBudden stop being scared to choke her during sex u  ass  She8217ll like it Says the guy who hits women out of bed FOH
154,156,3,0,3,0,1,Johnny55Perez whitethunduh ha well iguess I make them  loyal bro theyll never be loyal that y they  my
155,157,6,0,6,0,1,KazAtta 1TAKEHOV Oh man its 5 am you off a molly  where the  ya seed at fixed
156,158,3,0,3,0,1,KelsieBelsi Youre not a man if you refer to every girl as a
157,159,3,0,3,0,1,KeyshawnSwag Lmfao this cat started beating the shit out of me my  finally got some  MY
158,160,3,0,1,2,2,KeyshawnSwag Peel up peel up bring it back up rewind back where Im from they move Shaq from the line ooooow who tf said that trash
159,161,3,0,2,1,1,KingCuh 16stanleys io io alu record  vine sai pe hahahaha lol anywaaaaaays haha
160,162,3,0,3,0,1,KingHendo95 VonDreaam naw its my old tape new cover  my upcoming mixtape is KingOfTheHill Yeah Im waiting on that  Mayne
161,163,3,0,3,0,1,KingTeej Ol dirty foot ass  this was too funny to me
162,164,3,0,3,0,1,KingShawn6 whitethunduh thats where I get my yellow flags for being amazing 128079128524 HELL YEAH NIGGY
163,165,3,0,3,0,1,KissMySmilee Dont got time for  to be actin iffy
164,166,3,0,0,3,2,KnightfanNeal UCFPINKPARTY come on stay alive knights nation This is still the early bird special ComeAtMeUT
165,167,3,0,2,1,1,"KyraNadiya These  aint loyal  no they aint httptcoh1UBsVbkGl

Smfh amp wonder why nobody decent wants them"
166,168,3,0,3,0,1,LCisTJ Bruh you studs keep thinking Im soft as hell Ask ya girl how many times she screamed she was my  Oh okay STFU BYE
167,169,3,0,3,0,1,LODYCASH dry   always blame it on the condom128514128079128514128079128514
168,170,3,0,3,0,1,LUNAraps shut yo  ass up httpstcoIemN1u0gm5 128557128514
169,171,3,0,3,0,1,LaFlareGodJosh Gucci Mane in jail and dropping mixtapes every month and you  cant even text back
170,172,3,0,3,0,1,Latrobemark You love these  more then money wats wrong these
171,173,6,0,6,0,1,LeBronVuitton A loyal  from the burbs without daddy issues is like finding a holographic Mewtwo sounding like me over there lol
172,174,3,0,3,0,1,LiLFridayHOE Easy cum easy  Thats a fact
173,175,3,0,3,0,1,LifeAsBros Charlie Sheen is too real httptcogGGdK3kOV7 major  respect for Charlie Sheen
174,176,3,0,3,0,1,"Lightskingawdd Wish I had a bae 128533

You got all the  tho"
175,177,3,0,3,0,1,LilMike12  twerking  can you cook
176,178,3,0,3,0,1,Linniekravitz WesGodLaFlare  wtf httptcoDaSmycxODB
177,179,3,1,2,0,1,LipetheGreat 8220h0rheyd LipetheGreat Shut up zoe fight me pussy8221 for zoe Im good man You are good maam Move along now
178,180,3,0,3,0,1,LolaaIsDope Lmao  snake   em
179,181,3,0,3,0,1,LoveableAizah Big booty  everywhere sheesh 128525 damn 127807128064127807
180,182,3,0,0,3,2,MLBNetwork Stay tuned to MLBNetwork for an update on the report that Yankees 1B teixeiramark25 will be out 810 weeks dliming35 bum
181,183,3,0,0,3,2,MRad 8220DezDLT I play soccer cheat on girls and wear khaki coloured cargos haircut httptcotYCIhD6PkW8221 yes lmfaosoccerboy04
182,184,3,0,3,0,1,MadFlyentist Oregon chokes every year get off the field trash ass program RFT
183,185,3,0,3,0,1,MannyDiesel Def not cowboy lol RT ArtofFloyd Terrell Owens was the best Eagle amp Cowboy ever dude cried like a  on tv over Romo
184,186,3,3,0,0,0,MarkRoundtreeJr LMFAOOOO I HATE BLACK PEOPLE httpstcoRNvD2nLCDR This is why theres black people and
185,187,3,0,3,0,1,Master11 20ToLife GabrielaStarr How could u do this to me  potent
186,188,3,0,1,2,2,MaxMayo77 httptco3Jk4kR44X3 a pissed lad past out I would lick his dirty soles while he slept
187,189,3,0,1,2,2,MaxMayo77 httptcoPrrskknqRv love frat boy w soft long soles
188,190,3,0,1,2,2,MaxMayo77 httptcoXpSC3makgJ sexy lad with hot soles and arches
189,191,3,0,3,0,1,MegamindNick whitethunduh nah fam I gotta cheat with the  depends on the female i feel
190,192,3,0,0,3,2,Meshanojas Vontethekidd 128079128079128079128079128588 I got hicks lol
191,193,3,1,2,0,1,Migsmichelen This new twitter is confusing the shit out of me Go back to south america
192,194,3,0,3,0,1,Miikitox3 Toto means ass or vaginaI think  cause toto santi is like nasty
193,195,3,0,3,0,1,MikelaHenry but what if he actually does choose the ugly  over you 58381Her ass must be fat
194,196,3,0,3,0,1,MileyCyrus  couldnt kill my vibe if ya tried 127752127752127752 dis why i love miley
195,197,3,0,3,0,1,Montrell Im tired of  saying I look mean 128530  you big af wear tight shirts and grim everybody
196,198,6,0,0,6,2,MotherJones 10 birds your grandkids may never see thanks to climate change httptcoXqmXHkAsWt httptcoRbITeGRnhm Climate
197,199,3,0,3,0,1,MvckFadden Stay beautiful you
198,200,3,0,3,0,1,"NICKIMINAJ WutKinda

r purple Ceeeleeeman this gurl was jus playin on the stupid   track But in still shitted on sum gurls"
199,201,3,0,3,0,1,NastyCopper Money getting taller and  getting blurry
200,202,3,1,2,0,1,NewsomeJade I aint never seen a  so obsessed with they nigga128514 Im obsessed with mine 128529
201,203,3,0,2,1,1,Nicholasted33 Kobe stay talking trash But lets not forget httptcoVH4tnEkvTP JAustin12 I meant to do this one Smh
202,204,3,2,1,0,0,"NoChillPaz At least Im not a  httptcoRGJa7CfoiT

Lmfao"
203,205,3,0,3,0,1,NoFAKINGG People always asking me what Im mixed with She a bad asian  lol
204,206,3,2,1,0,0,NotoriousBM95 WhitePonyJr Ariza is a snake and a coward but at least he isnt a cripple like your hero Roach lmaoo
205,207,3,0,1,2,2,"OSAYitaintso 8220IgnoreAllLaws Fosters home for imaginary trash8221 WHOA CHILL

that show was everything tf"
206,208,6,0,5,1,1,OfficialReplay I am lowkey tired if you tired be quiet and go to sleep
207,209,3,0,3,0,1,PRAYINGFORHEAD 8220macklemroe Stop bringing weird  into my mentions PRAYINGFORHEAD8221 httptcocussDJesRK
208,210,3,0,3,0,1,PRETTyBOSsBRAt We dont love these  128080128581
209,211,3,0,3,0,1,PatrickQuelo If yo girl cant have homeboys you a ol weak  ass
210,212,3,0,3,0,1,Patsfanjoe32 dpalomino52 I think worst advice I gave you was  dont be a  and speed up lol
211,213,3,0,3,0,1,PoemsPorn Quote this tweet with your favorite animal
212,214,3,0,3,0,1,PoeticSuccess I hate when strippers tell you theyre dancers  ballet dancers dont pop their  to Beethoven You a STRIPPER
213,215,3,0,3,0,1,"Poffalicious Andrewbryant Poff has double vision after 2 beers
Poff  Double  128526 smh"
214,216,3,0,3,0,1,"Poobie When  TWERK on the computer

ME In ya 128089 in ya damn 128089825265039"
215,217,3,0,3,0,1,ProdsJewel 8220sreadthepeace 8220yungmindless PeacePunkPrince Prince THIS is art httptcoEPHRWxMBHr8221 nobody takin his
216,218,3,0,1,2,2,QUAN1T0 61 of welfaregovernment aid is claimed by white people So yall black slander is trash now
217,219,3,0,3,0,1,QUAN1T0 These  dont care they just play that role
218,220,6,0,6,0,1,"QueenKaaat It took a while for you to find me but I was hiding In the lime tree
Iemonaids dis  in da wrong tree bro"
219,221,6,3,2,1,0,RTNBA Drakes new shoes that will be released by NikeJordan Yes theres glitter on the shoes httptcoQCtPLxHEXM dudes a
220,222,3,0,1,2,2,RachieSoul DizzleOfficial inna di ghetto You alone lmaoo
221,223,3,0,1,2,2,RamBoutIt 8220Master11 20ToLife RamBoutIt  Austin8221 teach us AustinI teach u how to get curved Thats all I know
222,224,3,1,2,0,1,ReachtheeCLIMAX  cant cook but know how to suck dick  so to the ones that can do both
223,225,3,0,3,0,1,RenegadeMo Fat  get chose lol
224,226,3,0,3,0,1,RiahSM hoesaintloyal well theyre hoesno one expects them to be loyal
225,227,3,0,3,0,1,RishaaWilliams TRESHONSCROOGE Nevertrustt ol  ass httptcoAmcOinY0wG
226,228,3,1,2,0,1,RnadJorell Bruh im tired of  retweetin Miley Cyrus naked that  aint no types of bad lmaooo
227,229,3,0,3,0,1,SacTownProdigy Just because tony romo at the mavs game dont mean he still not a  lmao Fuk them cowgirls lol   you
228,230,3,0,3,0,1,"SamJLayman  Holy shit Freddie Highmore was in Charlie and the Chocolate Factory
Me rolls on the floor laughing"
229,231,3,1,2,0,1,Samirahusic I dont want to have sex with my gf because I feel like Im using her  anonymous Whata
230,232,3,0,3,0,1,SexualGxfs  One of your followers with this 128525128553 httptcoF1TJl9xnCT  somebody  if you dont
231,233,3,0,3,0,1,ShaaJenkins If ya  always bitching clearly she care Or just an annoying
232,234,3,0,3,0,1,ShanTaughtHer These catfish  thinkin they slick But  catching on 128524
233,235,3,0,3,0,1,SheWentToJordan Cant worry about a  that aint worried bout me real
234,236,3,0,3,0,1,ShowArrive Side  are for insecure  that cant handle a real one
235,237,3,0,3,0,1,Shunstokes 128514128514128514128514RT bluprint4 Lmao This  come scooting in the tent like she about to  some shit up 128557128557128557
236,238,3,0,3,0,1,Shunstokes My cousin said he share  with his brothers He said sharing is caring and he love his brothers 128514
237,239,3,0,3,0,1,SlimGirlProbz im hungry but ionn wanna spend my money on food128530Broke  problems 128514128514128514128128
238,240,6,0,6,0,1,SmeegBaby Dese  be LYIN to all of us
239,241,3,0,3,0,1,SnakecharmsDump httptco4b427dQZCV oh yeah  that
240,242,3,0,1,2,2,SportsCenter Eli Manning just threw his NFLleading 27th interception of the season Lmao trash
241,243,3,0,1,2,2,SportsCenter USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team 187 httptcoJOOsdSubIR hes a
242,244,3,0,3,0,1,StellaTex Guess what I also have zero time for your mansplaining Adios Stfu
243,245,3,0,1,2,2,Stephenwildboy Chilling 1280698482 httptcomik3iPNle6 sexy scally lad
244,246,3,0,3,0,1,Strap I aint sharing no  if you mines you mines 128175
245,247,3,0,3,0,1,SukMySweetness money only impress the simple broke
246,248,3,0,2,1,1,Sylvieamx Pisces will never be anybodys  they dont let people control or change them Rigghhht
247,250,3,0,1,2,2,TEEJONEZ 16stanleys KingCuh tuku  idk blah blah blah 128514128514128514
248,251,3,0,1,2,2,TEEJONEZ KingCuh 16stanleys Im not mad cuh hahaha suure tuku  ita 128514128514
249,252,3,0,3,0,1,TayKnosBest These  is crazy
250,253,3,0,3,0,1,TaylorrBabee You aint ever gonna be a slice  Kevin hart
251,254,3,0,3,0,1,ThatniggaTroy Oomf so fuckin fine tho 128553 dam  her dont be no
252,255,3,1,2,0,1,TheGamerKingKev I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for
253,256,3,0,3,0,1,"TheNewSAT NewSATQuestions
Yeah  yeah  call me 
a Maybe
b SteveO
c Later
d Jesse Pinkman
machinegunkelly"
254,257,3,0,3,0,1,TheNymphoTweets Hickies in between her thighs right by her  gtgtgt Its only right
255,258,3,0,3,0,1,TheOneMissLuu Would you still love me when Im no longer young and beautiful No Ugly monkey ass
256,259,3,1,2,0,1,TheRealRickyB21 JetsAndASwisher Gook yall come through the front I aint coming
257,260,3,1,2,0,1,TheRealRickyB21 JetsAndASwisher   httptco2HyyAbk4eH
258,261,3,0,3,0,1,TheRealistSam Madrid2 yea Im on my iPad I dont work this Friday Lets ball this  up TropicalBlanketi work 25
259,262,3,0,1,2,2,Theo17100 httptcoBYj1HOyhmG this scally lad would get it
260,263,3,2,1,0,0,TheoMaxximus GerrysHalloweenParty httptco3ycrSrnjHc Halloween was yesterday stupid
261,264,3,0,2,1,1,TheoMaxximus Chrus still supahot tho walks up to teacher with test drops test in that  fohead httptconb5VgdssgI
262,265,3,0,3,0,1,Thornton25 8220KantKeepAhBYTCH I love eating  lol I never get full lol8221 I can eat that shit forever lol and ever
263,266,3,0,3,0,1,TmaccGFG 8220VoiceOfDStreetz TmaccGFG 8220tizzimarie No slushes 1285498221 nasty anyway fam1285648221them  taste like meds127815127815127868
264,267,3,0,2,1,1,TmaccGFG 8220tizzimarie No slushes 1285498221 nasty anyway fam128564
265,268,3,1,2,0,1,TmaccGFG BOBBY BITCHby BobbyShmurdaGS9 be getting me live as  hell yea i play that  before my workout
266,269,3,0,3,0,1,TreLeKidd Yo  is Gucci Mane RT JabariTheGreat  My  a stoner 128175128175 httptcolt9LIJjpg9128514128514128514128514128514128514
267,270,3,0,3,0,1,TweetGameLazy I can ride your  with no handle bars
268,271,3,0,3,0,1,TyJonCuffee And if you aint a  get up out my traphoussseeeee
269,272,3,0,0,3,2,UberFacts 15 sad TV character deaths were still bitter over httptcouLclFUF8nC httptco1RXYQOOsM0ned stark was the man
270,273,3,0,3,0,1,UnHolyJack These harbor  are all Party Bus  Lol all
271,274,3,0,3,0,1,Vbomb20 Woodchuck20  love it
272,275,3,0,3,0,1,"VeronikaHumbert Ultraviolence video its coming you little  MTVHottest Lana Del Rey httptco533fLbvWqh 

bitchy promo"
273,276,3,0,3,0,1,"VineForTheByrd On my way to  your  httpstco4lMTFNL2iy

LMFAO KITTYCOPTER"
274,277,3,0,0,3,2,WBUR A smuggler explains how he helped fighters along the Jihadi Highway httptcoUX4anxeAwd
275,278,3,0,3,0,1,WBeezy QuaTheGreat Aww their avis look so cute together 128145 httptco9lPorCb8w0 128128128128128128 do I gotta get Ike avi on this
276,279,3,0,3,0,1,WBeezy RunDRC Its simple dont be a hoedont worry about being exposed 128540 fight mewhy
277,280,3,0,3,0,1,"WannabeKanye whys this  boosting herself httptcouOd2f5WtKV

Her size isnt exactly the most healthy tho"
278,281,3,0,3,0,1,WitHaPrettyface 1nonlykeisha bet not be no  128514128080128299128299128298 128514128514 Kim bye
279,283,3,0,3,0,1,XXPDOTJDOT Damn near gotta protect my tweets stalkers being annoying you got that dope dick Drive these  loco
